[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=139 freereg=18 nactvar=16 line=478
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=140 freereg=18 nactvar=16 line=478
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=147 freereg=18 nactvar=16 line=483
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=138 freereg=18 nactvar=16 line=483
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=149 freereg=18 nactvar=16 line=484
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=140 freereg=18 nactvar=16 line=484
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=129 freereg=21 nactvar=20 line=494
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=128 freereg=22 nactvar=20 line=494
[cg_emit_eq] e1=NonReloc info=16 e2=KInt info=0 r1=16 r2=128 freereg=21 nactvar=20 line=494
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=21 nactvar=20 line=494
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=129 freereg=22 nactvar=20 line=494
[cg_emit_eq] e1=NonReloc info=21 e2=KInt info=0 r1=21 r2=128 freereg=22 nactvar=20 line=495
[cg_emit_eq] e1=NonReloc info=16 e2=KInt info=0 r1=16 r2=147 freereg=22 nactvar=21 line=501
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=137 freereg=23 nactvar=21 line=501
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=129 freereg=22 nactvar=21 line=512
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=128 freereg=23 nactvar=21 line=512
[cg_emit_eq] e1=NonReloc info=16 e2=KInt info=0 r1=16 r2=128 freereg=22 nactvar=21 line=512
[cg_emit_eq] e1=NonReloc info=18 e2=NonReloc info=19 r1=18 r2=19 freereg=22 nactvar=21 line=512
[cg_emit_eq] e1=NonReloc info=22 e2=KInt info=0 r1=22 r2=129 freereg=23 nactvar=21 line=512
